game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
L (35-36),1,20,45.8,377,2,35,18,3,0.5,61,6.5,10,5,1,16,8,80,0,1,0.185,1,7.0,72.7,0.667,6.0,0.0,69.0,0.39,1.88
L (17-24),2,18,60.0,275,2,22,11,0,0.5,62,4.6,12,3,4,19,3,25,0,2,0.15,1,4.25,72.2,0.5,16.0,7.0,23.0,0.295,1.73
W (36-20),1,17,63.3,196,2,48,288,1,6.0,74,6.5,11,15,3,29,3,25,1,0,0.188,1,3.33,65.6,0.5,55.0,97.0,164.0,0.452,1.18
W (43-10),2,30,73.8,454,3,22,109,3,5.0,62,9.1,20,6,5,31,7,93,1,1,0.192,1,4.67,73.0,0.333,22.0,29.0,57.0,0.688,1.35
W (31-22),0,21,76.0,251,2,35,81,1,2.3,68,4.9,9,8,0,17,8,51,0,0,0.191,1,4.0,70.6,0.8,25.0,17.0,66.0,0.412,1.28
W (17-6),1,6,32,60,1,51,151,1,3.0,62,3.4,3,9,2,14,4,52,1,0,0.094,1,2.43,91.5,0.5,32.0,13.0,133.0,0.375,1.02
W (52-22),0,32,58.0,318,5,25,115,1,4.6,63,6.9,15,9,3,27,4,50,0,0,0.289,1,6.43,68.5,1.0,39.0,26.0,73.0,0.566,1.11
L (7-48),1,28,69.2,221,0,26,97,1,3.7,73,4.4,10,4,1,15,9,99,0,1,1.5,0,2.33,68.0,0.0,5.0,65.0,7.0,0.222,4.54
L (22-31),3,25,77.4,278,1,29,90,1,3.1,69,5.3,13,7,0,20,4,30,3,0,0.191,0,4.6,70.3,0.75,20.0,7.0,87.0,0.426,1.12
W (31-17),2,11,52.9,201,3,39,170,1,4.4,55,6.7,9,10,0,19,3,24,1,1,0.231,1,4.0,70.3,1.0,51.0,37.0,98.0,0.509,1.25
