game_result,turnovers,pass_cmp,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td,rush_yds_per_att,tot_plays,tot_yds_per_play,first_down_pass,first_down_rush,first_down_penalty,first_down,penalty,penalty_yds,fumbles_lost,pass_int,havoc,game_loc,points_per_opp,average_field_start,power_success,second_level_yards,open_field_yards,line_yards,success_rate,explosiveness
W (55-7),0,17,78.6,181,3,37,269,3,7.3,63,7.1,9,13,1,23,2,25,0,0,0.588,1,5.86,63.3,0.667,17.0,89.0,42.0,0.552,1.43
W (26-9),2,14,26,284,1,32,191,2,6.0,62,7.7,10,10,0,20,4,40,0,2,0.169,1,4.0,78.9,0.667,45.0,46.0,115.0,0.5,1.3
L (35-38),1,17,65.4,198,1,39,242,4,6.2,73,6.0,9,12,4,25,5,31,0,1,0.145,0,4.38,72.4,0.833,54.0,86.0,119.0,0.458,1.44
W (21-7),1,15,30,227,1,36,131,2,3.6,62,5.8,10,5,0,15,11,100,0,1,0.18,1,3.5,100.0,0.667,43.0,51.0,74.0,0.355,1.72
W (35-10),1,20,26,226,2,40,221,3,5.5,66,6.8,9,11,2,22,7,56,0,1,0.132,1,5.0,66.7,1.0,50.0,48.0,111.0,0.548,1.1
W (23-19),0,14,76.9,204,2,46,112,1,2.4,65,4.9,6,12,3,21,5,50,0,0,0.262,1,5.67,71.0,0.5,36.0,6.0,122.0,0.46,1.06
W (30-27),0,23,19,356,2,28,74,1,2.6,64,6.7,15,3,2,20,6,40,0,0,0.149,1,3.83,72.6,0.333,7.0,0.0,42.0,0.429,1.24
W (34-27),1,18,73.7,341,2,36,201,2,5.6,61,8.9,11,11,0,22,7,41,1,0,0.195,1,2.86,75.2,1.0,56.0,58.0,115.0,0.475,1.47
W (38-21),1,33,36,395,4,34,137,1,4.0,75,7.1,21,6,1,28,9,75,1,0,0.059,0,5.43,13.3,0.6,32.0,22.0,81.0,0.5,1.42
W (49-13),1,23,33,212,2,52,287,5,5.5,85,5.9,11,18,0,29,4,35,1,0,0.421,1,6.13,69.2,0.714,66.0,37.0,160.0,0.594,0.92
W (30-13),1,21,69.7,228,2,32,228,1,7.1,65,7.0,7,9,1,17,10,88,1,0,0.297,1,3.29,64.5,1.0,51.0,90.0,138.0,0.484,1.14
L (16-29),1,20,33,287,2,30,100,0,3.3,64,6.0,11,6,0,17,10,79,0,1,0.119,0,2.83,68.5,0.667,31.0,6.0,80.0,0.313,1.78
W (45-14),1,18,63.6,209,2,33,303,4,9.2,66,7.8,12,8,1,21,5,40,1,0,0.234,1,4.0,64.1,0.75,26.0,135.0,83.0,0.464,1.35
W (41-20),2,21,34,239,1,40,238,3,6.0,72,6.6,11,13,0,24,7,58,0,2,0.202,1,3.86,100.0,1.0,56.0,64.0,143.0,0.507,1.05
L (11-24),1,31,44,333,1,21,13,0,0.6,65,5.3,15,1,1,17,9,46,0,1,0.132,0,2.0,77.8,0.0,13.0,1.0,49.0,0.338,1.25
W (49-7),1,18,70.5,233,1,51,327,6,6.4,74,7.6,13,19,1,33,4,20,1,0,0.524,1,7.0,77.4,0.8,60.0,43.0,150.0,0.792,0.9
W (29-16),0,19,23,166,1,43,183,3,4.3,67,5.2,11,8,3,22,5,30,0,0,0.141,1,4.8,68.0,1.0,37.0,80.0,86.0,0.403,1.37
W (22-7),2,21,78.3,284,1,35,111,0,3.2,59,6.7,10,9,2,21,5,35,2,0,0.154,1,3.14,69.8,0.4,43.0,31.0,101.0,0.491,0.95
L (14-33),1,25,24,244,2,29,69,0,2.4,59,5.3,9,5,1,15,10,86,0,1,0.0,0,7.0,0.0,0.4,22.0,14.0,67.0,0.356,1.35
W (27-13),3,17,29,264,3,31,153,0,4.9,60,7.0,11,7,2,20,8,55,0,3,0.182,1,2.5,62.6,1.0,32.0,35.0,100.0,0.35,1.7
W (35-10),2,18,58.6,296,3,39,254,2,6.5,68,8.1,12,12,2,26,7,89,2,0,0.315,0,3.5,73.1,1.0,32.0,61.0,79.0,0.62,1.24
W (59-7),1,10,29,210,2,39,404,6,10.4,56,11.0,8,14,0,22,3,20,0,1,0.37,1,6.33,64.2,0.75,20.0,157.0,44.0,0.704,1.94
L (7-14),2,15,62.1,234,1,32,9,0,0.3,67,3.6,7,2,2,11,6,36,1,1,0.266,0,1.75,77.9,1.0,10.0,2.0,52.0,0.215,1.52
W (38-6),0,26,43,283,3,36,166,2,4.6,79,5.7,13,13,4,30,6,54,0,0,0.156,1,5.43,71.9,1.0,22.0,17.0,80.0,0.528,1.16
W (38-20),2,25,60.5,287,1,34,243,3,7.1,70,7.6,11,15,2,28,4,50,0,2,0.222,1,4.63,72.6,0.4,47.0,80.0,122.0,0.536,1.19
W (42-14),0,19,36,342,1,31,119,4,3.8,61,7.6,13,6,1,20,7,80,0,0,0.153,1,4.67,71.3,0.6,30.0,51.0,84.0,0.483,1.62
W (31-9),1,21,69.4,223,3,31,139,1,4.5,67,5.4,10,6,2,18,4,50,0,1,0.23,0,3.44,58.1,1.0,23.0,19.0,85.0,0.369,1.22
W (44-17),0,24,30,352,5,23,120,1,5.2,57,8.3,13,7,0,20,4,15,0,0,0.218,1,5.0,100.0,0.0,10.0,31.0,20.0,0.447,2.13
W (56-0),2,25,58.1,346,2,44,344,6,7.8,78,8.8,12,15,2,29,7,44,0,2,0.256,1,5.25,70.5,1.0,37.0,116.0,69.0,0.538,1.76
W (21-14),1,13,34,238,1,39,184,2,4.7,62,6.8,10,10,0,20,6,50,0,1,0.197,1,3.5,76.4,1.0,35.0,23.0,133.0,0.525,1.19
W (56-28),0,18,73.5,388,5,41,194,3,4.7,62,9.4,11,9,2,22,4,50,0,0,0.25,1,5.83,64.4,0.75,24.0,55.0,66.0,0.615,1.99
W (13-10),3,21,23,286,1,29,20,0,0.7,64,4.8,11,4,3,18,10,81,1,2,0.143,0,2.17,14.9,0.4,14.0,2.0,50.0,0.393,1.37
W (45-0),1,22,31,360,3,40,228,3,5.7,71,8.3,16,11,1,28,4,36,0,1,0.382,1,5.63,70.8,0.714,26.0,68.0,82.0,0.614,1.39
W (42-13),1,21,71.0,250,3,38,147,3,3.9,70,5.7,10,9,1,20,5,45,0,1,0.288,1,5.25,58.0,0.667,35.0,23.0,94.0,0.471,1.36
L (27-30),1,25,32,270,3,35,138,0,3.9,74,5.5,11,7,1,19,7,65,0,1,0.19,0,4.5,70.2,1.0,35.0,16.0,94.0,0.405,1.14
W (44-31),1,27,65.6,255,0,40,281,6,7.0,82,6.5,16,12,4,32,5,63,0,1,0.207,1,5.63,70.2,1.0,62.0,108.0,150.0,0.481,1.29
W (39-35),1,32,45,371,4,37,116,1,3.1,82,5.9,18,8,1,27,7,66,0,1,0.167,0,5.43,71.5,0.429,28.0,29.0,84.0,0.469,1.31
W (34-31),1,23,71.1,233,2,34,132,2,3.9,73,5.0,11,7,3,21,7,52,0,1,0.136,1,4.8,64.7,1.0,26.0,34.0,93.0,0.389,1.26
W (29-0),0,32,39,281,2,34,69,0,2.0,83,4.2,16,6,2,24,9,53,0,0,0.425,0,2.44,56.8,1.0,23.0,10.0,77.0,0.463,1.0
W (53-10),0,26,59.0,370,5,33,143,2,4.3,67,7.7,17,8,4,29,3,25,0,0,0.222,1,5.78,62.2,1.0,17.0,22.0,37.0,0.622,1.63
W (27-9),2,26,49,269,2,25,141,1,5.6,59,6.9,12,6,1,19,3,35,0,2,0.292,1,2.6,100.0,1.0,18.0,88.0,50.0,0.471,1.41
W (65-0),3,28,37,406,7,52,271,1,5.2,89,7.6,20,14,0,34,7,60,2,1,0.484,1,4.73,59.7,0.667,34.0,37.0,77.0,0.667,1.13
W (48-7),0,24,75.7,343,1,37,153,4,4.1,76,6.5,13,7,6,26,9,72,0,0,1.333,1,4.86,75.1,1.0,5.0,8.0,10.0,0.833,2.58
W (35-20),1,14,39,184,0,44,271,5,6.2,72,6.3,7,14,7,28,9,105,0,1,0.237,0,4.38,72.8,0.667,61.0,114.0,128.0,0.408,1.52
W (29-16),1,21,61.5,245,1,37,158,2,4.3,63,6.4,13,7,0,20,6,65,0,1,0.182,1,3.75,63.1,0.333,36.0,39.0,109.0,0.492,1.01
L (14-31),3,16,28,186,2,34,100,0,2.9,65,4.4,5,7,2,14,9,92,2,1,0.07,1,4.67,98.2,0.8,22.0,7.0,85.0,0.317,1.34
L (7-28),3,27,43,209,1,40,213,0,5.3,83,5.1,14,15,0,29,1,5,2,1,0.048,0,1.17,1.4,1.0,55.0,54.0,144.0,0.519,0.87
W (66-17),2,36,62.8,405,5,42,274,3,6.5,87,7.8,21,15,1,37,4,30,1,1,0.4,1,4.5,70.1,1.0,58.0,50.0,125.0,0.625,1.12
W (48-14),1,20,45,204,3,33,163,3,4.9,66,5.6,10,8,2,20,5,55,1,0,0.657,1,5.25,58.0,0.5,26.0,27.0,74.0,0.583,1.21
L (24-31),1,25,80.0,283,1,41,146,2,3.6,79,5.4,14,7,4,25,6,50,1,0,0.175,1,2.83,73.3,0.714,42.0,114.0,111.0,0.443,1.22
W (31-14),1,23,33,263,2,35,126,2,3.6,72,5.4,12,6,4,22,6,54,1,0,0.159,0,3.43,13.9,0.8,32.0,46.0,73.0,0.38,1.56
L (42-45),2,24,42,279,2,37,262,4,7.1,79,6.8,15,11,1,27,10,78,0,2,0.125,1,4.67,62.3,1.0,41.0,105.0,130.0,0.487,1.36
W (41-6),2,28,57.1,313,3,37,129,1,3.5,70,6.3,13,9,0,22,5,50,1,1,0.867,1,3.8,60.2,1.0,5.0,22.0,19.0,0.692,1.56
W (36-13),2,24,33,314,2,51,250,2,4.9,88,6.4,15,18,2,35,7,75,1,1,0.204,0,3.7,72.4,0.714,80.0,32.0,169.0,0.535,1.11
W (34-17),0,24,84.8,265,3,44,192,1,4.4,77,5.9,12,13,0,25,6,48,0,0,0.181,1,4.25,61.5,0.8,56.0,40.0,154.0,0.5,1.21
L (21-24),0,23,37,298,2,38,135,1,3.6,79,5.5,11,12,0,23,7,39,0,0,0.143,1,2.33,78.7,0.889,42.0,28.0,122.0,0.41,1.38
W (59-14),0,14,25,203,1,44,289,6,6.6,69,7.1,7,17,3,27,4,40,0,0,0.321,1,5.43,57.8,0.833,33.0,5.0,95.0,0.571,1.05
W (14-10),4,10,56.0,94,2,38,136,0,3.6,55,4.2,5,6,1,12,7,56,3,1,0.145,0,7.0,70.2,0.5,33.0,19.0,111.0,0.426,1.17
W (45-13),3,27,17,340,2,43,222,4,5.2,79,7.1,11,15,0,26,5,45,1,2,0.326,1,5.0,59.7,0.727,44.0,48.0,129.0,0.606,1.06
L (10-27),0,9,58.8,56,0,41,144,0,3.5,64,3.1,5,9,0,14,10,64,0,0,0.123,0,0.0,41.3,0.667,44.0,49.0,64.0,0.313,1.07
L (20-27),1,11,36,88,0,43,219,2,5.1,63,4.9,3,12,2,17,1,5,0,1,0.197,1,2.86,100.0,0.25,50.0,82.0,117.0,0.391,1.14
W (52-10),0,24,34,277,6,29,134,1,4.6,63,6.5,13,9,5,27,9,88,0,0,0.425,1,5.78,100.0,1.0,28.0,40.0,79.0,0.522,1.57
L (33-48),3,31,70.6,336,2,29,97,2,3.3,82,5.3,14,7,5,26,7,55,1,2,0.222,0,4.25,1.7,0.8,28.0,20.0,79.0,0.395,1.42
W (47-3),0,32,53,399,2,33,158,3,4.8,73,7.6,21,6,1,28,8,50,0,0,0.37,1,4.7,90.0,1.0,24.0,20.0,91.0,0.574,1.33
W (27-10),1,15,58.5,193,2,33,209,1,6.3,58,6.9,7,9,0,16,7,50,1,0,0.297,1,3.33,91.6,0.667,29.0,103.0,94.0,0.456,1.44
W (34-22),3,17,40,210,2,39,204,0,5.2,67,6.2,9,10,0,19,6,40,2,1,0.366,1,2.5,0.0,0.625,45.0,58.0,126.0,0.5,1.14
